"ID";"TPUName";"global_id";"AdmArea";"District";"NearStation";"YearOfComissioning";"Status";"AvailableTransfer";"CarCapacity";"geoData";
"239";"Транспортно-пересадочный узел «Коньково» (к)";"1769964";"Юго-Западный административный округ";"район Тёплый Стан";"станция метро «Коньково»";"2018";"проект";"Метро; перехватывающая парковка";"300";"{type=Point, coordinates=[37.519601999944, 55.63303800016]}";
"7";"Транспортно-пересадочный узел «Измайловская» (п)";"1769965";"Восточный административный округ";"район Измайлово";"станция метро «Измайловская»";"2014";"построен";"метро; перехватывающая парковка";"480";"{type=Point, coordinates=[37.779716417407, 55.787867574554]}";
"8";"Транспортно-пересадочный узел «Измайловский парк» (п)";"1769966";"Восточный административный округ";"район Измайлово";"станция метро «Партизанская»";"2014";"построен";"метро; московская кольцевая железная дорога; автовокзал";"45";"{type=Point, coordinates=[37.74892085613, 55.788453548514]}";
"9";"Транспортно-пересадочный узел «Открытое шоссе» (п)";"1769967";"Восточный административный округ";"район Богородское";"станция метро «Бульвар Рокоссовского»";"2014";"построен";"метро; московская кольцевая железная дорога";"400";"{type=Point, coordinates=[37.735451583235, 55.814216113976]}";
"10";"Транспортно-пересадочный узел «Первомайская» (п)";"1769968";"Восточный административный округ";"район Измайлово";"станция метро «Первомайская»";"2014";"построен";"метро";"";"{type=Point, coordinates=[37.799487149237, 55.795839490928]}";
"11";"Транспортно-пересадочный узел «Перово» (п) (1)";"1769969";"Восточный административный округ";"район Перово";"платформа «Перово»";"2014";"построен";"пригородная железная дорога";"179";"{type=Point, coordinates=[37.765697999887, 55.737659000093]}";
"13";"Транспортно-пересадочный узел «Солнечная» (п)";"1769971";"Западный административный округ";"район Солнцево";"платформа «Солнечная»";"2014";"построен";"пригородная железная дорога";"30";"{type=Point, coordinates=[37.383513005177, 55.656348699165]}";
"1";"Транспортно-пересадочный узел «Преображенская площадь» (п)";"1769972";"Восточный административный округ";"район Преображенское";"станция метро «Преображенская площадь»";"2015";"проект";"метро; перехватывающая парковка";"330";"{type=Point, coordinates=[37.717019319619, 55.796643392828]}";
"2";"Транспортно-пересадочный узел «Сокольники» (п)";"1769973";"Восточный административный округ";"район Сокольники";"станция метро «Сокольники»";"2014";"построен";"метро; перехватывающая парковка";"";"{type=Point, coordinates=[37.679708020668, 55.789193921398]}";
"3";"Транспортно-пересадочный узел «Ухтомская» (п)";"1769974";"Восточный административный округ";"район Косино-Ухтомский";"платформа «Ухтомская»";"2014";"построен";"пригородная железная дорога";"132";"{type=Point, coordinates=[37.864981528057, 55.698623832218]}";
"4";"Транспортно-пересадочный узел «Черкизово» (п)";"1769975";"Восточный административный округ";"район Преображенское";"станция метро «Черкизовская»";"2014";"построен";"метро; московская кольцевая железная дорога; перехватывающая парковка";"826";"{type=Point, coordinates=[37.744819000321, 55.802286696635]}";
"14";"Транспортно-пересадочный узел «Университет» (к)";"1769976";"Юго-Западный административный округ";"Гагаринский район";"станция метро «Университет»";"2018";"проект";"метро; перехватывающая парковка";"30";"{type=Point, coordinates=[37.534531999966, 55.692439999916]}";
"15";"Транспортно-пересадочный узел «Юго-Западная» (п)";"1769977";"Западный административный округ";"район Тропарёво-Никулино";"станция метро «Юго-Западная»";"2014";"построен";"метро; автовокзал; перехватывающая парковка";"210";"{type=Point, coordinates=[37.482192988545, 55.66328995264]}";
"150";"Транспортно-пересадочный узел «Андроновка»";"1769981";"Юго-Восточный административный округ";"Нижегородский район";"платформа «Андроновка»";"2015";"проект";"московская кольцевая железная дорога; наземный городской транспорт; перехватывающая парковка";"60";"{type=Point, coordinates=[37.737995000367, 55.747173000217]}";
"151";"Транспортно-пересадочный узел «Новохохловская»";"1769982";"Юго-Восточный административный округ";"Нижегородский район";"платформа строится";"2015";"проект";"московская кольцевая железная дорога; наземный городской транспорт; перехватывающая парковка; пригородная железная дорога";"120";"{type=Point, coordinates=[37.716146999782, 55.723906000015]}";
"152";"Транспортно-пересадочный узел «Волгоградская»";"1769983";"Юго-Восточный административный округ";"район Печатники";"платформа «Угрешская»";"2015";"проект";"московская кольцевая железная дорога; наземный городской транспорт";"";"{type=Point, coordinates=[37.695912999573, 55.717826000098]}";
"156";"Транспортно-пересадочный узел «Севастопольский проспект» (к) (1)";"1769987";"Южный административный округ";"Нагорный район";"платформа «Севастопольский проспект»";"2020";"строится";"Наземный городской пассажирский транспорт";"";"{type=Point, coordinates=[37.604959000162, 55.69013000019]}";
"157";"Транспортно-пересадочный узел «Ярославская» (к)";"1769988";"Северо-Восточный административный округ";"Ярославский район";"платформа «Ярославская»";"2020";"строится";"Наземный городской пассажирский транспорт, Ярославское направление железной дороги";"";"{type=Point, coordinates=[37.668108999771, 55.839399000054]}";
"159";"Транспортно-пересадочный узел «Волоколамская» (1)";"1769990";"Северный административный округ";"район Сокол";"платформа строится";"2015";"проект";"московская кольцевая железная дорога; наземный городской транспорт; пригородная железная дорога";"";"{type=Point, coordinates=[37.486811000147, 55.814903999904]}";
"160";"Транспортно-пересадочный узел «Окружная» (к)";"1769991";"Северный административный округ";"Тимирязевский район";"платформа «Окружная»";"2018";"строится";"Наземный городской пассажирский транспорт, Савеловское направление железной дороги";"";"{type=Point, coordinates=[37.572043999618, 55.848899000234]}";
"161";"Транспортно-пересадочный узел «Соколиная Гора»";"1769992";"Восточный административный округ";"район Соколиная Гора";"платформа строится";"2015";"проект";"московская кольцевая железная дорога; наземный городской транспорт; перехватывающая парковка";"800";"{type=Point, coordinates=[37.74520500011, 55.770476999975]}";
