id	line_id	line_id_inner	name	coordX	coordY	type	cities_id	status	owner_id	ways	latitude	longitude
132	8		Шоссе Энтузиастов	773	314	1	1	0		2	55.758167	37.751667
133	8		Авиамоторная	695	329	1	1	0		2	55.751579	37.716976
134	8		Площадь Ильича	613	339	1	1	0		2	55.747047	37.680367
135	8		Марксистская	559	353	1	1	0		2	55.740913	37.656425
136	8		Третьяковская	489	354	1	1	1		2	55.740696	37.625576
137	9		Алтуфьево	403	0	1	1	0		2	55.897923	37.587139
138	9		Бибирево	440	31	1	1	0		2	55.883926	37.60363
139	9		Отрадное	442	78	1	1	0		2	55.863319	37.604694
140	9		Владыкино	409	114	1	1	0		2	55.847183	37.589916
141	9		Петровско-Разумовская	376	138	1	1	0		2	55.836391	37.575424
142	9		Тимирязевская	377	177	1	1	0		2	55.819046	37.575466
143	9		Дмитровская	389	202	1	1	0		2	55.807999	37.581066
144	9		Савёловская	225	1296	1	1	0		2		
145	9		Менделеевская	429	261	1	1	0		2	55.78191	37.598583
146	9		Цветной бульвар	478	284	1	1	0		2	55.771656	37.620575
147	9		Чеховская	450	297	1	1	0		2	55.765865	37.608139
148	9		Боровицкая	461	328	1	1	0		2	55.752304	37.612877
149	9		Полянка	473	363	1	1	0		2	55.736771	37.618443
150	9		Серпуховская	489	385	1	1	0		2	55.726791	37.62524
151	9		Тульская	482	426	1	1	0		2	55.708702	37.622494
152	9		Нагатинская	481	484	1	1	0		2	55.682728	37.621819
153	9		Нагорная	456	506	1	1	0		2	55.672981	37.61076
154	9		Нахимовский проспект	444	529	1	1	0		2	55.662846	37.605583
155	9		Севастопольская	428	555	1	1	0		2	55.651352	37.598354
156	9		Чертановская	445	579	1	1	0		2	55.640709	37.605751
157	9		Южная	452	620	1	1	0		2	55.622299	37.608994
158	9		Пражская	440	644	1	1	0		2	55.611889	37.603813
159	9		Улица академика Янгеля	434	680	1	1	0		2	55.595482	37.601173
160	9		Аннино	425	707	1	1	0		2	55.583691	37.596783
161	9		Бульвар Дмитрия Донского	380	737	1	1	0		2	55.570244	37.577145
162	10		Марьина роща	250	1458	1	1	0		2		
163	10		Достоевская	250	1467	1	1	0		2		
164	10		Трубная	481	294	1	1	0		2	55.767445	37.622059
165	10		Сретенский бульвар	250	1485	1	1	0		2		
166	10		Чкаловская	564	319	1	1	0		2	55.756001	37.658749
167	10		Римская	612	341	1	1	0		2	55.746445	37.680157
168	10		Крестьянская застава	579	373	1	1	0		2	55.732269	37.665592
169	10		Дубровка	604	405	1	1	0		2	55.71785	37.676556
170	10		Кожуховская	624	432	1	1	0		2	55.706142	37.685642
171	10		Печатники	719	461	1	1	0		2	55.692928	37.727657
172	10		Волжская	779	466	1	1	0		2	55.690865	37.754219
173	10		Люблино	796	499	1	1	0		2	55.6763	37.761852
174	10		Братиславская	770	537	1	1	0		2	55.659416	37.750462
175	10		Марьино	755	558	1	1	0		2	55.650089	37.743809
176	10		Борисово	250	1584	1	1	0		2		
177	10		Шипиловская	250	1593	1	1	0		2		
178	10		Зябликово	250	1602	1	1	0		2		
179	11		Каширская	541	546	1	1	0		2	55.655067	37.648666
180	11		Варшавская	478	550	1	1	0		2	55.653545	37.62048
181	11		Каховская	428	551	1	1	0		2	55.652985	37.598343
182	12		Улица Старокачаловская	396	738	1	1	0		2	55.569706	37.58419
183	12		Улица Скобелевская	332	789	1	1	0		2	55.547405	37.555481
184	12		Бульвар адмирала Ушакова	301	793	1	1	0		2	55.545261	37.542072
185	12		Улица Горчакова	277	801	1	1	0		2	55.541962	37.531132
186	12		Бунинская аллея	241	810	1	1	0		2	55.537945	37.515362
187	13		Улица Сергея Эйзенштейна	325	1683	1	1	0		2		
188	13		Выставочный центр	325	1692	1	1	0		2		
189	13		Улица академика Королёва	325	1701	1	1	0		2		
190	13		Телецентр	325	1710	1	1	0		2		
191	13		Улица Милашенкова	325	1719	1	1	0		2		
192	13		Тимирязевская	377	177	1	1	0		2	55.819046	37.575466
193	1		Тропарёво	25	1737	1	1	0		2		
194	1		Румянцево	25	1746	1	1	0		2		
195	1		Саларьево	25	1755	1	1	0		2		
196	2		Алма-Атинская	50	1764	1	1	0		2		
197	2		Технопарк	50	1773	1	1	0		2		
199	2		Ховрино	50	1791	1	1	0		2		
200	3		Пятницкое шоссе	75	1800	1	1	0		2		
201	5		Суворовская	125	1809	1	1	0		2		
202	6		Челобитьево	150	1818	1	1	0		2		
203	7		Спартак	175	1827	1	1	0		2		
204	7		Лермонтовский проспект	175	1836	1	1	0		2		
205	7		Жулебино	175	1845	1	1	0		2		
206	7		Котельники	175	1854	1	1	0		2		
207	10		Бутырская	250	1863	1	1	0		2		
208	10		Фонвизинская	250	1872	1	1	0		2		
209	10		Петровско-Разумовская	376	138	1	1	0		2	55.836391	37.575424
210	10		Окружная	250	1890	1	1	0		2		
211	10		Верхние Лихоборы	250	1899	1	1	0		2		
212	10		Селигерская	250	1908	1	1	0		2		
214	10		Дмитровское шоссе	250	1926	1	1	0		2		
215	12		Битцевский парк	335	672	1	1	0		2	55.599167	37.556946
216	12		Лесопарковая	300	1944	1	1	0		2		
217	14		Деловой центр	304	335	1	1	0		2	55.749222	37.543285
218	14		Парк Победы	245	364	1	1	0		2	55.736301	37.517002
219	14		Волхонка	350	1971	1	1	0		2		
220	14		Дорогомиловская	350	1980	1	1	0		2		
221	14		Плющиха	350	1989	1	1	0		2		
222	14		Третьяковская	489	354	1	1	0		2	55.740696	37.625576
223	14		Минская	350	2007	1	1	0		2		
224	14		Ломоносовский проспект	350	2016	1	1	0		2		
225	14		Раменки	350	2025	1	1	0		2		
226	15		Косино	375	2034	1	1	0		2		
227	15		улица Дмитриевского	375	2043	1	1	0		2		
228	15		Лухмановская	375	2052	1	1	0		2		
229	15		Некрасовка	375	2061	1	1	0		2		
230	15		Авиамоторная	695	329	1	1	0		2	55.751579	37.716976
231	15		Нижегородская улица	375	2079	1	1	0		2		
232	15		Стахановская	375	2088	1	1	0		2		
233	15		Окская улица	375	2097	1	1	0		2		
234	15		Юго-Восточная	375	2106	1	1	0		2		
235	16		Нижняя Масловка	400	2115	1	1	0		2		
237	16		Ходынское поле	400	2133	1	1	0		2		
238	16		Хорошёвская	400	2142	1	1	0		2		
240	16		Деловой центр	304	335	1	1	0		2	55.749222	37.543285
241	16		Улица Народного ополчения	400	2169	1	1	0		2		
242	16		Мневники	400	2178	1	1	0		2		
243	16		Терехово	400	2187	1	1	0		2		
244	16		Кунцевская	85	376	1	1	0		2	55.730698	37.445919
245	16		Аминьевское шоссе	400	2205	1	1	0		2		
246	16		Мичуринский проспект	400	2214	1	1	0		2		
247	16		Проспект Вернадского	219	498	1	1	0		2	55.676716	37.505573
248	16		Улица Новаторов	400	2232	1	1	0		2		
249	16		Воронцовская	400	2241	1	1	0		2		
250	16		Севастопольский проспект	400	2250	1	1	0		2		
251	16		Каховская	428	551	1	1	0		2	55.652985	37.598343
252	16		Каширская	541	546	1	1	0		2	55.655067	37.648666
253	16		Нагатинский затон	400	2277	1	1	0		2		
254	16		Печатники	719	461	1	1	0		2	55.692928	37.727657
255	16		Текстильщики	726	426	1	1	0		2	55.708691	37.730728
256	16		Нижегородская улица	400	2304	1	1	0		2		
257	16		Авиамоторная	695	329	1	1	0		2	55.751579	37.716976
258	16		Лефортово	400	2322	1	1	0		2		
259	16		Электрозаводская	669	261	1	1	0		2	55.782024	37.705219
260	16		Сокольники	611	244	1	1	0		2	55.789284	37.679726
261	16		Ржевская	400	2349	1	1	0		2		
262	16		Шереметьевская	400	2358	1	1	0		2		
263	14		Мичуринский проспект	350	2367	1	1	0		2		
264	14		Очаково	350	2376	1	1	0		2		
265	14		Терешково	350	2385	1	1	0		2		
266	14		Солнцево	350	2394	1	1	0		2		
267	14		Боровское шоссе	350	2403	1	1	0		2		
268	14		Новопеределкино	350	2412	1	1	0		2		
269	14		Рассказовка	350	2421	1	1	0		2		
270	17		Андроновка	425	2430	1	1	0		2		
271	17		Шоссе Энтузиастов	773	314	1	1	0		2	55.758167	37.751667
272	17		Измайлово	425	2448	1	1	0		2		
273	17		Локомотив	425	2457	1	1	0		2		
274	17		Бульвар Рокоссовского	733	188	1	1	0		2	55.814461	37.73402
275	17		Белокаменная	425	2475	1	1	0		2		
276	17		Ростокино	425	2484	1	1	0		2		
277	17		Ботанический сад	518	118	1	1	0		2	55.845478	37.638409
278	17		Владыкино	409	114	1	1	0		2	55.847183	37.589916
279	17		Окружная	425	2511	1	1	0		2		
280	17		Лихоборы	425	2520	1	1	0		2		
281	17		Балтийская	425	2529	1	1	0		2		
282	17		Стрешнево	425	2538	1	1	0		2		
283	17		Хорошёво	425	2547	1	1	0		2		
284	17		Шелепиха	425	2556	1	1	0		2		
285	17		Деловой центр	304	335	1	1	0		2	55.749222	37.543285
286	17		Кутузовская	285	355	1	1	0		2	55.74004	37.534569
287	17		Лужники	425	2583	1	1	0		2		
288	17		Площадь Гагарина	425	2592	1	1	0		2		
289	17		Крымская	425	2601	1	1	0		2		
290	17		Верхние Котлы	425	2610	1	1	0		2		
291	17		ЗИЛ	425	2619	1	1	0		2		
292	17		Автозаводская	561	428	1	1	0		2	55.707748	37.657497
293	17		Угрешская	425	2637	1	1	0		2		
294	17		Новохохловская	425	2646	1	1	0		2		
295	17		Нижегородская	425	2655	1	1	0		2		
296	17		Соколиная Гора	425	2664	1	1	0		2		
297	17		Дубровка	604	405	1	1	0		2	55.71785	37.676556
298	16		Петровский парк	400	2682	1	1	0		2		
299	16		ЦСКА	400	2691	1	1	0		2		
300	16		Шелепиха	400	2700	1	1	0		2		
301	14		Озерная	350	2709	1	1	0		2		
302	14		Говорово	350	2718	1	1	0		2		
303	2		Беломорская	50	2727	1	1	0		2		
304	17		Зорге	425	2736	1	1	0		2		
305	17		Панфиловская	425	2745	1	1	0		2		
306	17		Коптево	425	2754	1	1	0		2		
307	16		Савеловская	407	234	1	1	0		2	55.794029	37.589176
